epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,575.431,0.59967,0.51515,0.44192,1.10153,0.98982,1,0.995,0.79667,0.98982,1,0.995,0.84521,0.71783,0.26115,0.73875,0.99547,0.001604,0.001604,0.001604
42,589.402,0.55387,0.51406,0.40959,1.07131,0.88559,1,0.9934,0.77741,0.88559,1,0.9934,0.91258,0.73243,0.24673,0.83006,0.90095,0.0015941,0.0015941,0.0015941
43,603.406,0.61158,0.58086,0.4483,1.09471,0.94435,1,0.995,0.80938,0.94435,1,0.995,0.911,0.68633,0.23918,0.74293,0.97643,0.0015842,0.0015842,0.0015842
44,617.398,0.57234,0.53119,0.4353,1.07553,0.99605,1,0.995,0.82074,0.99605,1,0.995,0.9017,0.76249,0.27122,0.52387,1.01814,0.0015743,0.0015743,0.0015743
45,631.444,0.54563,0.52428,0.40401,1.06098,0.99317,1,0.995,0.79642,0.99317,1,0.995,0.88892,0.86315,0.23037,0.54345,1.07079,0.0015644,0.0015644,0.0015644
46,645.487,0.56942,0.52397,0.41702,1.0751,0.99577,1,0.995,0.84009,0.99577,1,0.995,0.89833,0.67729,0.27878,0.50127,0.95149,0.0015545,0.0015545,0.0015545
47,659.437,0.57038,0.56005,0.42302,1.0768,0.99737,1,0.995,0.75516,0.99737,1,0.995,0.91572,0.89939,0.27077,0.60489,0.92422,0.0015446,0.0015446,0.0015446
48,673.303,0.5489,0.47054,0.42224,1.06819,0.99438,1,0.995,0.88341,0.99438,1,0.995,0.88272,0.6056,0.28908,0.55033,0.87581,0.0015347,0.0015347,0.0015347
49,687.463,0.54624,0.49018,0.41982,1.0626,0.99267,1,0.995,0.78621,0.99267,1,0.995,0.91209,0.77222,0.27168,0.65611,0.93797,0.0015248,0.0015248,0.0015248
50,701.507,0.51137,0.48454,0.39707,1.04317,0.99737,1,0.995,0.82155,0.99737,1,0.995,0.91546,0.68464,0.28336,0.60776,0.79044,0.0015149,0.0015149,0.0015149
51,715.536,0.53685,0.49563,0.40789,1.0418,0.99595,1,0.995,0.88492,0.99595,1,0.995,0.90385,0.63239,0.24147,0.52234,0.90483,0.001505,0.001505,0.001505
52,729.65,0.51124,0.49777,0.38394,1.04443,0.98944,1,0.995,0.80074,0.98944,1,0.995,0.90914,0.71465,0.26596,0.6201,0.91393,0.0014951,0.0014951,0.0014951
53,743.722,0.53388,0.4957,0.39797,1.04902,0.99621,1,0.995,0.79195,0.99621,1,0.995,0.90963,0.71344,0.23598,0.5238,0.96098,0.0014852,0.0014852,0.0014852
54,757.788,0.53745,0.49654,0.39991,1.04148,0.99745,1,0.995,0.77181,0.99745,1,0.995,0.91466,0.77958,0.29732,0.58482,0.89079,0.0014753,0.0014753,0.0014753
55,771.863,0.50297,0.4844,0.37943,1.02395,0.99646,1,0.995,0.89603,0.99646,1,0.995,0.85,0.65401,0.26779,0.59362,1.01152,0.0014654,0.0014654,0.0014654
56,786.029,0.50065,0.50037,0.37025,1.0345,0.99726,1,0.995,0.78491,0.99726,1,0.995,0.82461,0.65336,0.23964,0.61518,0.94661,0.0014555,0.0014555,0.0014555
57,800.051,0.49493,0.50047,0.35815,1.02801,0.99581,1,0.995,0.81122,0.99581,1,0.995,0.92107,0.74785,0.25841,0.47392,0.98909,0.0014456,0.0014456,0.0014456
58,813.974,0.51724,0.48781,0.38254,1.03788,0.99699,1,0.995,0.81015,0.99699,1,0.995,0.9041,0.74986,0.37079,0.64228,0.90371,0.0014357,0.0014357,0.0014357
59,827.835,0.52369,0.49019,0.37855,1.05245,0.99258,1,0.995,0.80652,0.99258,1,0.995,0.95796,0.70133,0.24788,0.53963,0.86078,0.0014258,0.0014258,0.0014258
60,841.763,0.48679,0.45191,0.34245,1.0155,0.9969,1,0.995,0.78393,0.9969,1,0.995,0.92034,0.84948,0.2504,0.59681,0.91751,0.0014159,0.0014159,0.0014159
61,856.082,0.5054,0.46633,0.37622,1.02842,0.99663,1,0.995,0.87263,0.99663,1,0.995,0.88504,0.58566,0.23277,1.04114,0.89162,0.001406,0.001406,0.001406
62,870.899,0.47514,0.45645,0.36768,1.03413,0.99698,1,0.995,0.86942,0.99698,1,0.995,0.93076,0.5775,0.24467,0.46999,0.80869,0.0013961,0.0013961,0.0013961
63,885.79,0.47269,0.42287,0.36201,1.02385,0.99729,1,0.995,0.83647,0.99729,1,0.995,0.93688,0.61846,0.24261,0.43839,0.79795,0.0013862,0.0013862,0.0013862
64,900.715,0.49529,0.46495,0.36238,1.01311,0.99759,1,0.995,0.83845,0.99759,1,0.995,0.90019,0.66618,0.23598,0.43259,0.96555,0.0013763,0.0013763,0.0013763
65,915.538,0.51448,0.51881,0.37405,1.0338,0.9976,1,0.995,0.81018,0.9976,1,0.995,0.94333,0.75233,0.25108,0.42727,0.83588,0.0013664,0.0013664,0.0013664
66,930.714,0.49367,0.49793,0.36508,1.03075,0.99733,1,0.995,0.86757,0.99733,1,0.995,0.93533,0.58233,0.24696,0.4319,0.74624,0.0013565,0.0013565,0.0013565
67,945.936,0.50651,0.49234,0.37482,1.03718,0.99547,1,0.995,0.84563,0.99547,1,0.995,0.90995,0.68166,0.24467,0.52553,0.95648,0.0013466,0.0013466,0.0013466
68,961.03,0.47392,0.45877,0.35521,1.00653,0.9973,1,0.995,0.84576,0.9973,1,0.995,0.93311,0.62615,0.2417,0.5208,0.83372,0.0013367,0.0013367,0.0013367
69,976.006,0.47656,0.45762,0.36134,1.01626,0.98839,1,0.995,0.80885,0.98839,1,0.995,0.95565,0.65824,0.26848,0.48451,0.81067,0.0013268,0.0013268,0.0013268
70,991.05,0.47121,0.47653,0.35942,1.00203,0.9967,1,0.995,0.85895,0.9967,1,0.995,0.92901,0.59943,0.24216,0.53808,0.83155,0.0013169,0.0013169,0.0013169
71,1006.31,0.46427,0.45616,0.33608,1.00396,0.99643,1,0.995,0.8819,0.99643,1,0.995,0.91879,0.65325,0.233,0.57693,0.85086,0.001307,0.001307,0.001307
72,1021.41,0.4788,0.47975,0.34925,1.02497,0.99713,1,0.995,0.83438,0.99713,1,0.995,0.90372,0.74,0.23895,0.44778,0.91667,0.0012971,0.0012971,0.0012971
73,1036.39,0.44782,0.41695,0.3288,1.00726,0.99735,1,0.995,0.90135,0.99735,1,0.995,0.93718,0.55774,0.24422,0.43698,0.74721,0.0012872,0.0012872,0.0012872
74,1051.43,0.47519,0.45437,0.34503,1.01594,0.99599,1,0.995,0.87516,0.99599,1,0.995,0.94234,0.59415,0.25475,0.47845,0.75406,0.0012773,0.0012773,0.0012773
75,1066.19,0.46515,0.42549,0.34845,1.00829,0.99702,1,0.995,0.83737,0.99702,1,0.995,0.93557,0.66084,0.23289,0.47483,0.82343,0.0012674,0.0012674,0.0012674
76,1080.92,0.47083,0.4741,0.33897,1.00454,0.99753,1,0.995,0.89171,0.99753,1,0.995,0.94037,0.57779,0.22785,0.41118,0.76534,0.0012575,0.0012575,0.0012575
77,1095.9,0.44736,0.44181,0.33825,0.99124,0.99663,1,0.995,0.82344,0.99663,1,0.995,0.94906,0.72834,0.23918,0.43007,0.8017,0.0012476,0.0012476,0.0012476
78,1110.87,0.4621,0.44732,0.32595,0.99725,0.99752,1,0.995,0.88633,0.99752,1,0.995,0.94581,0.57811,0.23277,0.41736,0.80661,0.0012377,0.0012377,0.0012377
79,1125.72,0.43696,0.44548,0.33162,0.98876,0.99522,1,0.995,0.88928,0.99522,1,0.995,0.92259,0.56596,0.22831,0.43401,0.85695,0.0012278,0.0012278,0.0012278
80,1140.74,0.46871,0.48326,0.34679,0.99643,0.99738,1,0.995,0.86034,0.99738,1,0.995,0.93745,0.63556,0.23529,0.44706,0.81894,0.0012179,0.0012179,0.0012179
81,1155.01,0.46195,0.42874,0.32969,1.00044,0.99717,1,0.995,0.8864,0.99717,1,0.995,0.89892,0.61552,0.22865,0.58081,0.80797,0.001208,0.001208,0.001208
82,1168.71,0.46659,0.43901,0.3339,1.01094,0.99721,1,0.995,0.87882,0.99721,1,0.995,0.84763,0.58914,0.25864,0.54011,0.8261,0.0011981,0.0011981,0.0011981
83,1182.47,0.45476,0.44302,0.31785,0.99731,0.99738,1,0.995,0.8311,0.99738,1,0.995,0.95287,0.73965,0.22625,0.43504,0.91566,0.0011882,0.0011882,0.0011882
84,1196.24,0.44867,0.42043,0.31696,1.00088,0.99364,1,0.995,0.84578,0.99364,1,0.995,0.91018,0.61506,0.23335,0.52352,0.86157,0.0011783,0.0011783,0.0011783
85,1209.98,0.45654,0.44882,0.3366,0.98948,0.99452,1,0.995,0.88393,0.99452,1,0.995,0.91672,0.59674,0.26138,0.39938,0.84588,0.0011684,0.0011684,0.0011684
86,1223.63,0.44997,0.48576,0.33375,0.98802,0.9975,1,0.995,0.88661,0.9975,1,0.995,0.94143,0.56825,0.25566,0.41311,0.76233,0.0011585,0.0011585,0.0011585
87,1237.25,0.45706,0.47661,0.34025,0.9913,0.99738,1,0.995,0.86949,0.99738,1,0.995,0.94337,0.63466,0.24101,0.50592,0.79046,0.0011486,0.0011486,0.0011486
88,1250.98,0.45642,0.48641,0.33759,0.98887,0.99756,1,0.995,0.87957,0.99756,1,0.995,0.95111,0.67056,0.24193,0.62704,0.80077,0.0011387,0.0011387,0.0011387
89,1264.6,0.43069,0.44652,0.30535,0.9611,0.99563,1,0.995,0.88151,0.99563,1,0.995,0.94207,0.57926,0.25543,0.55849,0.83586,0.0011288,0.0011288,0.0011288
90,1278.28,0.41931,0.44161,0.2976,0.96898,0.99755,1,0.995,0.79645,0.99755,1,0.995,0.93543,0.81375,0.23872,0.58966,0.91286,0.0011189,0.0011189,0.0011189
91,1291.87,0.40881,0.42967,0.30302,0.97317,0.99678,1,0.995,0.90889,0.99678,1,0.995,0.9483,0.53557,0.23689,0.41376,0.78992,0.001109,0.001109,0.001109
92,1305.78,0.43352,0.44965,0.31198,0.97732,0.99759,1,0.995,0.90345,0.99759,1,0.995,0.96016,0.57391,0.2306,0.42673,0.77506,0.0010991,0.0010991,0.0010991
93,1319.55,0.44543,0.45285,0.3222,0.98276,0.99775,1,0.995,0.85773,0.99775,1,0.995,0.92246,0.62174,0.22739,0.42059,0.82946,0.0010892,0.0010892,0.0010892
94,1333.31,0.41643,0.42332,0.2949,0.97531,0.99601,1,0.995,0.86325,0.99601,1,0.995,0.91767,0.56011,0.30144,0.41115,0.74924,0.0010793,0.0010793,0.0010793
95,1347.08,0.44968,0.44634,0.33539,0.9914,0.99739,1,0.995,0.87183,0.99739,1,0.995,0.89404,0.59246,0.22579,0.40262,0.78095,0.0010694,0.0010694,0.0010694
96,1360.62,0.4205,0.46002,0.30476,0.9672,0.99269,1,0.995,0.89377,0.99269,1,0.995,0.8776,0.55083,0.23643,0.39064,0.78547,0.0010595,0.0010595,0.0010595
